# AVL-BASIC built-in functions, constants, MAT helpers, and named operators.
# topic<TAB>aliases<TAB>syntax<TAB>parameters<TAB>summary<TAB>related
# Numeric functions and constants
MOUSERIGHT		MOUSERIGHT	-	Returns -1 while the right mouse button is pressed, otherwise 0.	MOUSELEFT,ON MOUSE
MOUSEEVENT$		MOUSEEVENT$	-	Returns the name of the last received mouse event.	ON MOUSE,MOUSEX,MOUSEY
REMAIN		REMAIN(timer)	timer: timer number from 0 to 3	Returns the remaining timer count in 1/50-second ticks.	AFTER,EVERY,CANCEL
ERR		ERR	-	Returns the active runtime error number, or 0.	ERL,ON ERROR,RESUME
ERL		ERL	-	Returns the line of the active runtime error, or 0.	ERR,ON ERROR,RESUME
VERSION$		VERSION$	-	Returns the AVL-BASIC language version.	-

# PRINT-only functions
SPC		SPC(count)	count: number of spaces	Emits spaces inside a PRINT or GPRINT list.	TAB,PRINT,GPRINT
TAB		TAB(column)	column: target output column	Advances to a column inside a PRINT or GPRINT list without moving backwards.	SPC,PRINT,GPRINT

# Named expression operators
MOD		left MOD right	left: numeric expression; right: nonzero numeric expression	Returns the floating-point remainder.	-
AND		left AND right	left: numeric expression rounded to an integer; right: numeric expression rounded to an integer	Returns the bitwise AND.	OR,XOR,NOT
OR		left OR right	left: numeric expression rounded to an integer; right: numeric expression rounded to an integer	Returns the bitwise OR.	AND,XOR,NOT
XOR		left XOR right	left: numeric expression rounded to an integer; right: numeric expression rounded to an integer	Returns the bitwise exclusive OR.	AND,OR,NOT
NOT		NOT number	number: numeric expression rounded to an integer	Returns the bitwise complement.	AND,OR,XOR
