# AVL-BASIC brief HELP catalog: statements and immediate commands.
# topic<TAB>aliases<TAB>syntax variants<TAB>parameters<TAB>summary<TAB>related topics

# Program flow and error handling
REDIM		REDIM array(bound1[,bound2...])[,array(...)]	array: Existing array; bound1: New inclusive upper bound; bound2: Additional bounds	Changes array bounds while preserving elements that still fit.	DIM,CLEAR
DATA		DATA constant1[,constant2...]	constant1: Numeric or string constant; constant2: Additional constants	Stores constants for sequential READ operations.	READ,RESTORE
READ		READ target1[,target2...]	target1: Variable or array element; target2: Additional targets	Reads values from DATA into variables.	DATA,RESTORE,MAT READ
RESTORE		RESTORE [line]	line: Optional DATA line number	Resets the DATA pointer globally or to a line.	DATA,READ
SWAP		SWAP variable1,variable2	variable1: First variable; variable2: Second variable	Exchanges two values of the same type.	LET
CLEAR		CLEAR	-	Clears runtime data while keeping the stored program.	CLEAR INPUT,NEW
CLEAR INPUT		CLEAR INPUT	-	Empties the keyboard and input-event buffers.	CLEAR,INKEY$
NEW		NEW	-	Clears the program and fully resets the interpreter.	CLEAR,LOAD
MAT		MAT destination = expression	destination: Numeric or string array; expression: One supported matrix operation	Assigns a scalar, array, or matrix result to an array.	MAT BASE,MAT PRINT,MAT INPUT,MAT READ
MAT BASE		MAT BASE base	base: Matrix traversal base 0 or 1	Selects the starting index used by MAT operations.	MAT,MAT PRINT,MAT INPUT,MAT READ
MAT PRINT		MAT PRINT [ROW|COL] array[;|, ...]	array: Array to print; ROW: Normal orientation; COL: Transposed display orientation	Prints arrays by rows or columns.	MAT PRINT USING,MAT
MAT PRINT USING		MAT PRINT USING format$; [ROW|COL] array[;|, ...]	format$: Numeric format mask; array: Array to print	Prints arrays using a numeric format mask.	MAT PRINT,PRINT USING
MAT INPUT		MAT INPUT array1[,array2...]	array1: Existing array to fill; array2: Additional arrays	Reads console input into array elements.	MAT READ,INPUT
MAT READ		MAT READ array1[,array2...]	array1: Existing array to fill; array2: Additional arrays	Fills arrays sequentially from DATA.	MAT INPUT,DATA,READ
DEF FN		DEF FNname[(parameter,...)] = expression || DEF FNname[(parameter,...)]	name: Function name; parameter: Local value parameter; expression: Single-line return expression	Defines a single-line or multiline user function.	FNEND,EXIT FN,LOCAL
FNEND		FNEND	-	Ends a multiline DEF FN definition.	DEF FN,EXIT FN
EXIT FN	FNEXIT	EXIT FN || FNEXIT	-	Leaves a multiline function and returns its current value.	DEF FN,FNEND
DEF SUB		DEF SUB name[(parameter,...)]	name: Subroutine name; parameter: Local scalar or array parameter	Begins a named multiline subroutine definition.	CALL,SUBEND,EXIT SUB,LOCAL
CALL		CALL name[(argument,...)]	name: Defined subroutine name; argument: Scalar value or array	Calls a named DEF SUB subroutine.	DEF SUB,SUBEND
SUBEND		SUBEND	-	Ends a multiline DEF SUB definition.	DEF SUB,EXIT SUB
EXIT SUB	SUBEXIT	EXIT SUB || SUBEXIT	-	Leaves the current DEF SUB subroutine early.	DEF SUB,SUBEND
LOCAL		LOCAL name[(bound1[,bound2...])][,name...]	name: Local scalar or array; bound1: Inclusive upper bound; bound2: Additional bounds	Declares local storage at the start of a multiline routine.	DEF FN,DEF SUB

# Console and graphics text
PRINT	?	PRINT [item[;|,item...]] || ? [item[;|,item...]]	item: Expression or print-only SPC or TAB item	Prints values to the console.	PRINT USING,ZONE,INPUT
PRINT USING		PRINT USING format$; item[;|,item...]	format$: Numeric format mask; item: Value to format or print	Prints values using a numeric format mask.	PRINT,MAT PRINT USING,GPRINT USING
ZONE		ZONE width	width: Print-zone width from 1 to 255	Sets the column width used by comma-separated output.	PRINT,GPRINT
INPUT		INPUT ["prompt"][,|;] target1[,target2...]	prompt: Optional prompt text; target1: Variable or array element; target2: Additional targets	Reads comma-separated values from the console.	LINE INPUT,GINPUT
LINE INPUT		LINE INPUT ["prompt"][,|;] target$	prompt: Optional prompt text; target$: String variable	Reads one complete console line into a string.	INPUT
CLS		CLS	-	Clears the console display.	-
LOCATE		LOCATE column,row	column: Text column; row: Text row	Moves the graphics text cursor.	GPRINT,GINPUT
GPRINT		GPRINT [item[;|,item...]]	item: Expression or print-only SPC or TAB item	Prints values in graphics text coordinates.	GPRINT USING,LOCATE,PRINT
GPRINT USING		GPRINT USING format$; item[;|,item...]	format$: Numeric format mask; item: Value to format or print	Prints formatted values in graphics text coordinates.	GPRINT,PRINT USING
GINPUT		GINPUT ["prompt"][,|;] target1[,target2...]	prompt: Optional graphics prompt; target1: Variable or array element; target2: Additional targets	Reads values through an editable field in the graphics window.	INPUT,LOCATE,GPRINT
LABEL		LABEL text$[,ink[,paper]]	text$: Text to draw; ink: Optional foreground color; paper: Optional background color	Draws one string from the graphics cursor.	LDIR,MOVE,GPRINT
LDIR		LDIR degrees	degrees: Finite clockwise angle, including decimals	Sets the drawing direction used by LABEL.	LABEL
BIGFONT		BIGFONT [TRANSPARENT|OPAQUE]	mode: Optional transparent or opaque background mode	Selects the 16 by 16 graphics font.	SMALLFONT,GPRINT,LABEL
SMALLFONT		SMALLFONT [TRANSPARENT|OPAQUE]	mode: Optional transparent or opaque background mode	Selects the 8 by 16 graphics font.	BIGFONT,GPRINT,LABEL

# Graphics window, coordinates, and drawing
MODE		MODE width	width: Screen width 640, 800, or 1024	Selects a supported graphics resolution.	SCREEN,SCALE,ORIGIN
SCREEN		SCREEN || SCREEN graphics$	graphics$: Encoded full-screen graphics string	Resets graphics state or restores a captured screen.	SCREEN CLOSE,SCREEN$,BLOAD
SCREEN CLOSE		SCREEN CLOSE	-	Closes the graphics window and resets its state.	SCREEN
CLG		CLG	-	Clears and immediately presents the active viewport.	CLG OFFSCREEN,FRAME,PAPER
CLG OFFSCREEN		CLG OFFSCREEN	-	Clears the active viewport without presenting it.	CLG,FRAME
FRAME		FRAME [fps]	fps: Optional maximum frames per second	Presents the graphics buffer and optionally limits frame rate.	CLG OFFSCREEN
ORIGIN		ORIGIN || ORIGIN x,y || ORIGIN x,y,left,right,top,bottom	x,y: Physical origin; left,right,top,bottom: Physical viewport limits	Sets or resets the physical graphics origin and viewport.	SCALE
SCALE		SCALE || SCALE xmin,xmax,ymin,ymax[,border]	xmin: Minimum logical X; xmax: Maximum logical X; ymin: Minimum logical Y; ymax: Maximum logical Y; border: Optional physical margin	Enables a logical coordinate scale or returns to physical coordinates.	ORIGIN,GRAPHRANGE
MOVE		MOVE x,y	x: Absolute X coordinate; y: Absolute Y coordinate	Moves the graphics cursor without drawing.	MOVER,DRAW,LABEL
MOVER		MOVER dx,dy	dx: Relative X displacement; dy: Relative Y displacement	Moves the graphics cursor relative to its current position.	MOVE,DRAWR
PLOT		PLOT x,y[,color]	x: Absolute X coordinate; y: Absolute Y coordinate; color: Optional drawing color	Draws one pixel and moves the graphics cursor.	PLOTR,TEST
PLOTR		PLOTR dx,dy[,color]	dx: Relative X displacement; dy: Relative Y displacement; color: Optional drawing color	Draws one pixel relative to the graphics cursor.	PLOT
DRAW		DRAW x,y[,x2,y2[,color]]	x: Endpoint or first point X; y: Endpoint or first point Y; x2: Optional second point X; y2: Optional second point Y; color: Optional drawing color	Draws an absolute line or a line from the graphics cursor.	DRAWR,MOVE,MASK,PENWIDTH
DRAWR		DRAWR dx,dy[,color]	dx: Relative X displacement; dy: Relative Y displacement; color: Optional drawing color	Draws a line relative to the graphics cursor.	DRAW,MOVER,MASK,PENWIDTH
GRAPH		GRAPH expression[,step] || GRAPH expression$[,step]	expression: Formula in X; expression$: String containing a formula in X; step: Optional X increment	Plots a function over the active graph range.	GRAPHRANGE,XAXIS,YAXIS
GRAPHRANGE		GRAPHRANGE || GRAPHRANGE xmin,xmax,ymin,ymax	xmin: Plot minimum X; xmax: Plot maximum X; ymin: Plot minimum Y; ymax: Plot maximum Y	Overrides or resets the plotting rectangle used by GRAPH.	GRAPH,SCALE
PENWIDTH		PENWIDTH width	width: Line width 1, 2, or 4	Sets the width of drawn lines and outlines.	MASK,DRAW
MASK		MASK [pattern]	pattern: Optional eight-bit line pattern	Sets or resets the repeating pattern used for lines.	PENWIDTH,DRAW
CIRCLE		CIRCLE x,y,radius[,color[,aspect]] || CIRCLE x,y,radius,color,start,finish[,aspect]	x: Center X; y: Center Y; radius: Horizontal radius; color: Optional color; aspect: Optional vertical ratio; start: Start angle; finish: Finish angle	Draws a circle, ellipse, or arc.	CIRCLER,FCIRCLE
CIRCLER		CIRCLER dx,dy,radius[,color[,aspect]] || CIRCLER dx,dy,radius,color,start,finish[,aspect]	dx: Relative center X; dy: Relative center Y; radius: Horizontal radius; color: Optional color; aspect: Optional vertical ratio; start: Start angle; finish: Finish angle	Draws a relative circle, ellipse, or arc.	CIRCLE,FCIRCLER
FCIRCLE		FCIRCLE x,y,radius[,color[,aspect]] || FCIRCLE x,y,radius,color,start,finish[,aspect]	x: Center X; y: Center Y; radius: Horizontal radius; color: Optional color; aspect: Optional vertical ratio; start: Start angle; finish: Finish angle	Draws a filled circle, ellipse, or sector.	FCIRCLER,CIRCLE
FCIRCLER		FCIRCLER dx,dy,radius[,color[,aspect]] || FCIRCLER dx,dy,radius,color,start,finish[,aspect]	dx: Relative center X; dy: Relative center Y; radius: Horizontal radius; color: Optional color; aspect: Optional vertical ratio; start: Start angle; finish: Finish angle	Draws a relative filled circle, ellipse, or sector.	FCIRCLE,CIRCLER
RECTANGLE		RECTANGLE x0,y0,x1,y1[,color]	x0,y0: First corner; x1,y1: Opposite corner; color: Optional color	Draws a rectangle outline.	FRECTANGLE,TRECTANGLE
FRECTANGLE		FRECTANGLE x0,y0,x1,y1[,color]	x0,y0: First corner; x1,y1: Opposite corner; color: Optional color	Draws a filled rectangle.	RECTANGLE
TRIANGLE		TRIANGLE x0,y0,x1,y1,x2,y2[,color]	x0,y0 ... x2,y2: Three vertices; color: Optional color	Draws a triangle outline.	FTRIANGLE,TTRIANGLE
FTRIANGLE		FTRIANGLE x0,y0,x1,y1,x2,y2[,color]	x0,y0 ... x2,y2: Three vertices; color: Optional color	Draws a filled triangle.	TRIANGLE
TRECTANGLE		TRECTANGLE graphics$,x0,y0,x1,y1[,u0,v0,u1,v1]	graphics$: Texture source; x0,y0 and x1,y1: Destination corners; u0,v0 and u1,v1: Optional texture corners	Draws a texture-mapped rectangle.	TTRIANGLE,TQUAD,SPRITE
TTRIANGLE		TTRIANGLE graphics$,x0,y0,u0,v0,x1,y1,u1,v1,x2,y2,u2,v2	graphics$: Texture source; x0,y0 ... x2,y2: Destination vertices; u0,v0 ... u2,v2: Texture coordinates	Draws a texture-mapped triangle.	TRECTANGLE,TQUAD
TQUAD		TQUAD graphics$,x0,y0,u0,v0,x1,y1,u1,v1,x2,y2,u2,v2,x3,y3,u3,v3	graphics$: Texture source; x0,y0 ... x3,y3: Destination vertices; u0,v0 ... u3,v3: Texture coordinates	Draws a texture-mapped quadrilateral.	TRECTANGLE,TTRIANGLE
FILL		FILL || FILL color || FILL x,y || FILL x,y,color	x: Fill start X; y: Fill start Y; color: Optional fill color	Flood-fills a bounded area.	INK,PAPER
INK		INK color || INK red,green,blue	color: Palette index, RGB number, RGB text, or named color; red: Red component; green: Green component; blue: Blue component	Sets the foreground drawing color.	PAPER,RGB,RGB$
PAPER		PAPER color || PAPER red,green,blue	color: Palette index, RGB number, RGB text, or named color; red: Red component; green: Green component; blue: Blue component	Sets the graphics background color.	INK,CLG,RGB,RGB$
CROSSAT		CROSSAT || CROSSAT x,y	x: Preferred axis crossing X; y: Preferred axis crossing Y	Sets or clears the preferred crossing point for automatic axes.	XAXIS,YAXIS
XAXIS		XAXIS [ticks][,xmin,xmax][,side][,orientation][,subdivisions]	ticks: Major tick spacing; xmin: Axis minimum; xmax: Axis maximum; side: Label side; orientation: Label orientation; subdivisions: Minor divisions	Draws an automatic horizontal axis.	YAXIS,CROSSAT,SCALE
YAXIS		YAXIS [ticks][,ymin,ymax][,side][,subdivisions]	ticks: Major tick spacing; ymin: Axis minimum; ymax: Axis maximum; side: Label side; subdivisions: Minor divisions	Draws an automatic vertical axis.	XAXIS,CROSSAT,SCALE
BSAVE		BSAVE "filename.png"[,graphics$]	filename: PNG path; graphics$: Optional encoded graphics string	Saves the screen or a graphics string as a PNG file.	BLOAD,SCREEN$
BLOAD		BLOAD "filename.png"[,target$]	filename: PNG path; target$: Optional string variable	Loads a PNG into the screen or a graphics string variable.	BSAVE,SCREEN
SPRITE		SPRITE graphics$,x,y[,transparent[,id]]	graphics$: Encoded sprite image; x: Left X; y: Bottom Y; transparent: Optional transparent color; id: Optional collision identifier	Draws a sprite and optionally registers its collision identity.	SPRITE HITTEST,SPRITE MOVE,SPRITE DEL,COLMODE
SPRITE HITTEST		SPRITE HITTEST graphics$,x,y[,transparent[,id]]	graphics$: Encoded sprite image; x: Left X; y: Bottom Y; transparent: Optional transparent color; id: Optional collision identifier	Tests sprite collisions without drawing or changing the owner map.	SPRITE,COLMODE,COLCOLOR
SPRITE MOVE		SPRITE MOVE id,x,y[,transparent]	id: Registered sprite identifier; x: New left X; y: New bottom Y; transparent: Optional transparent color	Redraws a previously registered sprite at a new position.	SPRITE,SPRITE DEL,COLMODE
SPRITE DEL		SPRITE DEL id	id: Registered sprite identifier	Removes a sprite identifier from the collision map.	SPRITE,SPRITE MOVE,COLRESET
COLMODE		COLMODE mode	mode: Collision mode from 0 to 3	Selects color and sprite collision detection modes.	COLCOLOR,COLRESET,SPRITE
COLCOLOR		COLCOLOR [color]	color: Optional color to detect	Selects a collision color or any non-background color.	COLMODE,SPRITE HITTEST
COLRESET		COLRESET	-	Clears collision results and the sprite ownership map.	COLMODE,SPRITE DEL
MOUSE		MOUSE ON|OFF|1|0	state: ON or 1 to show and OFF or 0 to hide	Shows or hides the pointer in the graphics window.	ON MOUSE,MOUSEX,MOUSEY
ON MOUSE		ON MOUSE event GOSUB line || ON MOUSE event GOSUB 0	event: Mouse event name; line: Handler subroutine line	Registers or disables a mouse-event subroutine.	MOUSE,RETURN,DI,EI

# Timers, runtime state, and immediate utilities
AFTER		AFTER delay[,timer] GOSUB line	delay: Delay in 1/50-second ticks; timer: Optional timer number 0 to 3; line: Handler subroutine line	Schedules a one-shot timer interrupt.	EVERY,CANCEL,REMAIN,DI,EI
EVERY		EVERY period[,timer] GOSUB line	period: Period in 1/50-second ticks; timer: Optional timer number 0 to 3; line: Handler subroutine line	Schedules a repeating timer interrupt.	AFTER,CANCEL,REMAIN,DI,EI
CANCEL		CANCEL timer	timer: Timer number from 0 to 3	Disables a timer permanently.	AFTER,EVERY,REMAIN
DI		DI	-	Inhibits timer and mouse interrupts.	EI,AFTER,EVERY,ON MOUSE
EI		EI	-	Enables timer and mouse interrupts.	DI,AFTER,EVERY,ON MOUSE
RANDOMIZE		RANDOMIZE [seed]	seed: Optional random-number seed	Seeds the random-number generator.	RND
PAUSE		PAUSE [milliseconds]	milliseconds: Optional maximum wait time	Waits for a key or until the optional timeout expires.	INKEY$
BEEP		BEEP	-	Emits the console bell character.	-
TRON		TRON	-	Enables program line tracing.	TROFF
TROFF		TROFF	-	Disables program line tracing.	TRON
DEG		DEG	-	Selects degrees for trigonometry and drawing angles.	RAD
RAD		RAD	-	Selects radians for trigonometry and drawing angles.	DEG
DEBUG		DEBUG	-	Opens the read-only debugger and pauses before the first statement.	EDIT,RUN
RUN		RUN || RUN line || RUN "filename"	line: Optional starting line; filename: Optional BASIC program path	Starts the loaded program or loads and runs a program file.	CONT,LOAD
LIST		LIST [range]	range: Optional line or line range	Displays stored program lines.	EDIT,DELETE
EDIT		EDIT || EDIT line	line: Optional stored line number	Opens the full-screen program editor or edits one line.	DEBUG,LIST,RENUM
DELETE		DELETE [range]	range: Optional line or line range	Deletes selected program lines or the entire program.	LIST,NEW
RENUM		RENUM [start[,step[,from[,to]]]]	start: First new line number; step: New line increment; from: First old line; to: Last old line	Renumbers program lines and their references.	LIST,EDIT
SAVE		SAVE "filename"	filename: BASIC program path	Saves the stored program.	LOAD
LOAD		LOAD "filename"	filename: BASIC program path	Replaces the stored program with a file.	SAVE,RUN,NEW
MERGE		MERGE "filename"	filename: BASIC program path	Merges a file into the stored program while preserving runtime values.	CHAIN,CHAIN MERGE,LOAD
CHAIN		CHAIN "filename"[,line]	filename: BASIC program path; line: Optional starting line	Replaces the program and continues with preserved runtime values.	CHAIN MERGE,MERGE,RUN
CHAIN MERGE		CHAIN MERGE "filename"[,line][,DELETE first-last]	filename: BASIC program path; line: Optional starting line; first: First line to delete; last: Last line to delete	Optionally deletes lines, merges a file, and continues execution.	CHAIN,MERGE
FILES	CAT	FILES ["pattern"] || CAT ["pattern"]	pattern: Optional wildcard pattern	Lists matching files and all directories in the current virtual directory.	CD,LOAD
CD		CD "path"	path: Virtual directory path	Changes the current virtual directory.	FILES
TOUR		TOUR	-	Lists selected sample programs with ready-to-run commands.	SAMPLES,RUN
SAMPLES		SAMPLES	-	Lists all bundled sample programs by category.	TOUR,RUN
EXIT	QUIT,SYSTEM	EXIT || QUIT || SYSTEM	-	Leaves the AVL-BASIC interpreter.	EXIT FOR,EXIT WHILE,EXIT FN,EXIT SUB
HELP		HELP [topic]	topic: Optional instruction or function name	Shows a brief syntax reminder for a language topic.	-
